Date,Workout Name,Duration,Exercise Name,Set Order,Weight,Reps,Distance,Seconds,Notes,Workout Notes,RPE
2022-09-14 16:41:34,"Pull Day #1",1h 5min,"Lat Pulldown (Cable)",1,85.0,14,0,0,"","",
2022-09-14 16:41:34,"Pull Day #1",1h 5min,"Lat Pulldown (Cable)",2,120.0,6,0,0,,,
2022-09-14 16:41:34,"Pull Day #1",1h 5min,"Lat Pulldown (Cable)",3,100.0,10,0,0,,,
2022-09-14 16:41:34,"Pull Day #1",1h 5min,"Lat Pulldown (Cable)",4,100.0,10,0,0,,,
2022-09-14 16:41:34,"Pull Day #1",1h 5min,"Preacher Curl (Barbell)",1,45.0,14,0,0,"",,
2022-09-14 16:41:34,"Pull Day #1",1h 5min,"Preacher Curl (Barbell)",2,55.0,12,0,0,,,
2022-09-14 16:41:34,"Pull Day #1",1h 5min,"Preacher Curl (Barbell)",3,60.0,8,0,0,,,
2022-09-14 16:41:34,"Pull Day #1",1h 5min,"Preacher Curl (Barbell)",4,60.0,8,0,0,,,
2022-09-14 16:41:34,"Pull Day #1",1h 5min,"Seated Row (Cable)",1,140.0,14,0,0,"",,
2022-09-14 16:41:34,"Pull Day #1",1h 5min,"Seated Row (Cable)",2,170.0,12,0,0,,,
2022-09-14 16:41:34,"Pull Day #1",1h 5min,"Seated Row (Cable)",3,180.0,10,0,0,,,
2022-09-14 16:41:34,"Pull Day #1",1h 5min,"Seated Row (Cable)",4,170.0,10,0,0,,,
2022-09-14 16:41:34,"Pull Day #1",1h 5min,"Hammer Curl (Dumbbell)",1,27.5,7,0,0,"",,
2022-09-14 16:41:34,"Pull Day #1",1h 5min,"Hammer Curl (Dumbbell)",2,27.5,5,0,0,,,
2022-09-14 16:41:34,"Pull Day #1",1h 5min,"Hammer Curl (Dumbbell)",3,25.0,7,0,0,,,
2022-09-14 16:41:34,"Pull Day #1",1h 5min,"Chin Up (Assisted)",1,30.0,14,0,0,"",,
2022-09-14 16:41:34,"Pull Day #1",1h 5min,"Chin Up (Assisted)",2,10.0,12,0,0,,,
2022-09-14 16:41:34,"Pull Day #1",1h 5min,"Chin Up (Assisted)",3,0.0,8,0,0,,,
2022-09-16 18:04:57,"Push Day #2",6h 43min,"Incline Bench Press (Dumbbell)",1,30.0,14,0,0,"","",
2022-09-16 18:04:57,"Push Day #2",6h 43min,"Incline Bench Press (Dumbbell)",2,42.5,7,0,0,,,
2022-09-16 18:04:57,"Push Day #2",6h 43min,"Incline Bench Press (Dumbbell)",3,35.0,9,0,0,,,
2022-09-16 18:04:57,"Push Day #2",6h 43min,"Incline Bench Press (Dumbbell)",4,35.0,10,0,0,,,
2022-09-16 18:04:57,"Push Day #2",6h 43min,"Triceps Extension (Cable)",1,50.0,8,0,0,"",,
2022-09-16 18:04:57,"Push Day #2",6h 43min,"Triceps Extension (Cable)",2,55.0,8,0,0,,,
2022-09-16 18:04:57,"Push Day #2",6h 43min,"Triceps Extension (Cable)",3,60.0,8,0,0,,,
2022-09-16 18:04:57,"Push Day #2",6h 43min,"Lateral Raise (Dumbbell)",1,15.0,14,0,0,"",,
